"","qb","att","cmp","yds","ypa","td","int","sack","loss","game_points","experience","Ht","Wt","Forty","Vertical","BroadJump","Cone","Shuttle","Year","AV","Round"
"60","Jimmy Garoppolo",94,63,690,7.34042553191489,5,0,8,51,288,2,74,226,4.97,30.5,110,7.04,4.26,2014,3,2
"61","Joe Flacco",4276,2638,29446,6.88634237605239,168,105,257,1793,2804,8,78,236,4.84,28.5,110,6.82,4.27,2008,36,1
"62","John Beck",132,80,858,6.5,2,4,16,84,44,4,74,215,4.75,29.5,111,6.81,4.17,2007,4,2
"63","John Skelton",602,320,3707,6.1578073089701,15,25,47,325,334,2,77,243,4.85,33.5,108,7.17,4.33,2010,4,5
"64","Johnny Manziel",258,147,1675,6.4922480620155,7,7,22,167,182,1,72,207,4.68,31.5,113,6.75,4.03,2014,5,1
"65","Jordan Palmer",6,4,25,4.16666666666667,0,0,2,20,41,7,78,231,4.98,30.5,104,7.32,4.58,2007,0,6
"66","Josh Freeman",2048,1179,13873,6.77392578125,81,68,112,690,1224,6,78,248,4.9,33.5,119,7.11,4.43,2009,24,1
"67","Josh Johnson",177,96,1042,5.88700564971751,5,10,17,99,252,4,75,213,4.53,33.5,110,7.56,4.42,2008,4,5
"68","Josh McCown",1033,618,7312,7.0784123910939,40,29,95,577,639,14,76,221,4.59,38.5,120,6.85,3.9,2002,10,3
"70","Kellen Moore",104,61,779,7.49038461538461,4,6,5,23,45,3,72,197,4.82,27,99,7.41,4.56,2012,2,8
"71","Kevin Hogan",26,14,104,4,0,2,2,10,45,0,75,218,4.78,32.5,113,6.9,4.31,2016,2,5
"72","Kevin Kolb",721,432,5062,7.02080443828017,28,21,75,504,509,5,75,218,4.85,32.5,112,6.94,4.44,2007,2,2
"73","Kirk Cousins",1556,1025,12113,7.78470437017995,72,42,65,505,1101,4,75,214,4.84,28.5,109,7.05,4.5,2012,4,4
"74","Kyle Boller",208,115,1085,5.21634615384615,3,10,21,142,155,8,75,234,4.61,35.5,117,7.2,4.02,2003,13,1
"75","Kyle Orton",1794,1105,12678,7.06688963210702,71,42,106,654,1053,9,76,233,5.06,26.5,110.94623655914,7.38,4.52,2005,12,4
"76","Landry Jones",141,85,1071,7.59574468085106,7,6,6,51,222,3,76,225,5.11,31,115,7.12,4.3,2013,1,4
"77","Levi Brown",3,2,24,8,0,1,0,0,7,0,75,229,4.93,31.5,106,7.07,4.43,2010,0,7
"78","Logan Thomas",9,1,81,9,1,0,2,11,26,0,78,248,4.61,35.5,118,7.05,4.18,2014,1,4
"79","Luke McCown",118,74,753,6.38135593220339,0,5,7,45,134,11,76,208,4.71,37.5,125,6.74,4.21,2004,6,4
"80","Marc Bulger",247,140,1469,5.94736842105263,5,6,14,85,113,9,74,208,4.97,31.6075268817204,100,7.46,4.34,2000,31,6
"81","Marcus Mariota",821,506,6244,7.60535931790499,45,19,61,414,613,1,76,222,4.52,36,121,6.87,4.11,2015,34,1
"82","Mark Sanchez",2285,1295,15219,6.66039387308534,86,86,161,1048,1661,7,74,227,4.93,32.5,116,7.06,4.21,2009,24,1
"84","Matt Flynn",352,217,2535,7.20170454545455,17,11,39,209,952,6,74,231,4.79,28,109,7.21,4.34,2008,1,7
"85","Matt Gutierrez",1,1,3,3,0,0,0,0,7,2,76,232,5,29.5,108,6.99,4.28,2007,0,8
"87","Matt Ryan",4630,3023,34261,7.39978401727862,224,103,238,1577,3181,8,77,228,4.89,31.6075268817204,110.94623655914,7.4,4.51,2008,40,1
"88","Matt Schaub",2444,1566,18550,7.59001636661211,103,65,127,902,1781,12,78,243,5.04,30.5,110,7.65,4.62,2004,4,3
"89","Matthew Stafford",4251,2616,30068,7.0731592566455,186,105,241,1558,2507,7,74,225,4.81,30.5,107,7.06,4.47,2009,21,1
"90","Max Hall",78,39,370,4.74358974358974,1,6,14,90,98,0,73,209,4.84,32,102,7.07,4.35,2010,1,8
"92","Mike Glennon",630,374,4100,6.50793650793651,30,15,56,405,401,3,79,225,4.94,26.5,102,7.49,4.52,2013,11,3
"93","Mike Kafka",16,11,107,6.6875,0,2,1,6,47,1,75,225,4.93,32,110,6.96,4.37,2010,0,4
"94","Nick Foles",1285,776,9215,7.17120622568093,56,27,75,510,985,4,77,243,5.03,30.5,112,7.11139784946237,4.3052688172043,2012,20,3
"95","Pat White",5,0,0,0,0,0,1,9,73,0,72,197,4.55,35,117,7.06,4.42,2009,1,2
